txt; ini; nfo
htm; html; mht
htmlx
rtf
rtf
odt
xml
eml
amr
gsm
ibs
alaw
ulaw
sgn
cdma
edem
dect
wav
pcm
mp3
qcelp8
ambe2k4
ambe4k8
ambe4kplus
thuraya
g722
g723
g729
ogg
jpeg;jpg
png
gif
bmp
tiff
fax
doc
docx
xls
xlsx
ps
ppt
pptx
pdf
7z
gzip
tar
rar
zip
bin
swf
exe
java
bz2
flv
mpeg
mpg
